sample	samples	cancer type abbreviation	sample_type	ENSG00000175054.14	ENSG00000149554.12	ENSG00000108064.10
TCGA-D8-A27P-01	TCGA-D8-A27P-01	BRCA	Primary Tumor	3.418	2.115	4.82
TCGA-BH-A0HX-01	TCGA-BH-A0HX-01	BRCA	Primary Tumor	3.416	2.519	4.308
TCGA-A8-A083-01	TCGA-A8-A083-01	BRCA	Primary Tumor	3.416	1.379	4.461
TCGA-E9-A1NE-01	TCGA-E9-A1NE-01	BRCA	Primary Tumor	3.413	2.806	5.034
TCGA-AC-A3TN-01	TCGA-AC-A3TN-01	BRCA	Primary Tumor	3.413	1.679	2.501
TCGA-E2-A15C-01	TCGA-E2-A15C-01	BRCA	Primary Tumor	3.412	2.467	4.631
TCGA-AR-A252-01	TCGA-AR-A252-01	BRCA	Primary Tumor	3.41	3.94	5.176
TCGA-A8-A0A6-01	TCGA-A8-A0A6-01	BRCA	Primary Tumor	3.409	1.486	4.318
TCGA-OL-A6VQ-01	TCGA-OL-A6VQ-01	BRCA	Primary Tumor	3.408	2.826	4.333
TCGA-B6-A0X7-01	TCGA-B6-A0X7-01	BRCA	Primary Tumor	3.408	0.7058	4.071
TCGA-E2-A1II-01	TCGA-E2-A1II-01	BRCA	Primary Tumor	3.406	4.818	5.595
TCGA-E2-A1LE-01	TCGA-E2-A1LE-01	BRCA	Primary Tumor	3.406	4.051	3.473
TCGA-AR-A1AV-01	TCGA-AR-A1AV-01	BRCA	Primary Tumor	3.405	2.852	4.827
TCGA-AR-A2LN-01	TCGA-AR-A2LN-01	BRCA	Primary Tumor	3.405	1.196	4.445
TCGA-A8-A09W-01	TCGA-A8-A09W-01	BRCA	Primary Tumor	3.403	4.231	4.756
TCGA-AC-A7VB-01	TCGA-AC-A7VB-01	BRCA	Primary Tumor	3.402	4.277	4.532
TCGA-EW-A2FR-01	TCGA-EW-A2FR-01	BRCA	Primary Tumor	3.402	2.662	4.124
TCGA-D8-A141-01	TCGA-D8-A141-01	BRCA	Primary Tumor	3.401	2.053	4.341
TCGA-C8-A12L-01	TCGA-C8-A12L-01	BRCA	Primary Tumor	3.398	5.146	4.92
TCGA-BH-A0BG-01	TCGA-BH-A0BG-01	BRCA	Primary Tumor	3.398	3.108	4.591
TCGA-E2-A14U-01	TCGA-E2-A14U-01	BRCA	Primary Tumor	3.397	1.092	4.171
TCGA-BH-A0BM-01	TCGA-BH-A0BM-01	BRCA	Primary Tumor	3.395	1.001	3.619
TCGA-BH-A0H0-01	TCGA-BH-A0H0-01	BRCA	Primary Tumor	3.394	3.341	5.037
TCGA-E2-A10C-01	TCGA-E2-A10C-01	BRCA	Primary Tumor	3.392	2.86	3.151
TCGA-D8-A13Z-01	TCGA-D8-A13Z-01	BRCA	Primary Tumor	3.391	4.803	5.807
TCGA-A8-A07U-01	TCGA-A8-A07U-01	BRCA	Primary Tumor	3.388	3.43	4.099
TCGA-BH-A1FJ-01	TCGA-BH-A1FJ-01	BRCA	Primary Tumor	3.387	4.942	5.181
TCGA-C8-A26V-01	TCGA-C8-A26V-01	BRCA	Primary Tumor	3.387	3.583	4.073
TCGA-A2-A0EP-01	TCGA-A2-A0EP-01	BRCA	Primary Tumor	3.386	2.42	3.759
TCGA-EW-A1PE-01	TCGA-EW-A1PE-01	BRCA	Primary Tumor	3.384	2.751	4.722
TCGA-BH-A0DT-01	TCGA-BH-A0DT-01	BRCA	Primary Tumor	3.384	2.356	4.663
TCGA-A2-A1G0-01	TCGA-A2-A1G0-01	BRCA	Primary Tumor	3.384	1.953	4.775
TCGA-E2-A15J-01	TCGA-E2-A15J-01	BRCA	Primary Tumor	3.383	2.531	4.586
TCGA-A2-A1FW-01	TCGA-A2-A1FW-01	BRCA	Primary Tumor	3.381	3.645	4.838
TCGA-A7-A5ZX-01	TCGA-A7-A5ZX-01	BRCA	Primary Tumor	3.381	1.512	4.011
TCGA-AC-A3HN-01	TCGA-AC-A3HN-01	BRCA	Primary Tumor	3.377	2.196	4.198
TCGA-BH-A0EE-01	TCGA-BH-A0EE-01	BRCA	Primary Tumor	3.375	4.017	4.043
TCGA-GM-A2DC-01	TCGA-GM-A2DC-01	BRCA	Primary Tumor	3.375	1.264	3.524
TCGA-D8-A1JH-01	TCGA-D8-A1JH-01	BRCA	Primary Tumor	3.373	2.736	4.811
TCGA-A2-A3KD-01	TCGA-A2-A3KD-01	BRCA	Primary Tumor	3.372	1.993	4.578
TCGA-GM-A4E0-01	TCGA-GM-A4E0-01	BRCA	Primary Tumor	3.37	0.9191	2.834
TCGA-EW-A1P1-01	TCGA-EW-A1P1-01	BRCA	Primary Tumor	3.369	2.337	4.457
TCGA-A2-A0CX-01	TCGA-A2-A0CX-01	BRCA	Primary Tumor	3.368	3.165	3.883
TCGA-A2-A0YL-01	TCGA-A2-A0YL-01	BRCA	Primary Tumor	3.366	3.469	4.807
TCGA-B6-A0IH-01	TCGA-B6-A0IH-01	BRCA	Primary Tumor	3.365	1.406	4.737
TCGA-EW-A423-01	TCGA-EW-A423-01	BRCA	Primary Tumor	3.363	1.986	2.939
TCGA-BH-A8FY-01	TCGA-BH-A8FY-01	BRCA	Primary Tumor	3.363	1.623	2.718
TCGA-AR-A1AT-01	TCGA-AR-A1AT-01	BRCA	Primary Tumor	3.362	3.55	4.382
TCGA-AC-A3W7-01	TCGA-AC-A3W7-01	BRCA	Primary Tumor	3.362	2.465	4.52
TCGA-B6-A0RI-01	TCGA-B6-A0RI-01	BRCA	Primary Tumor	3.361	3.637	4.399
TCGA-E2-A1L9-01	TCGA-E2-A1L9-01	BRCA	Primary Tumor	3.359	2.625	4.068
TCGA-A7-A26E-01	TCGA-A7-A26E-01	BRCA	Primary Tumor	3.354	1.25	3.994
TCGA-LD-A74U-01	TCGA-LD-A74U-01	BRCA	Primary Tumor	3.353	2.718	3.966
TCGA-D8-A27R-01	TCGA-D8-A27R-01	BRCA	Primary Tumor	3.349	2.886	4.192
TCGA-D8-A1XZ-01	TCGA-D8-A1XZ-01	BRCA	Primary Tumor	3.348	4.027	4.669
TCGA-AN-A0XV-01	TCGA-AN-A0XV-01	BRCA	Primary Tumor	3.348	3.228	4.438
TCGA-A7-A2KD-01	TCGA-A7-A2KD-01	BRCA	Primary Tumor	3.345	3.896	5.673
TCGA-A8-A09G-01	TCGA-A8-A09G-01	BRCA	Primary Tumor	3.342	4.124	4.886
TCGA-E2-A15A-01	TCGA-E2-A15A-01	BRCA	Primary Tumor	3.342	3.653	4.933
TCGA-C8-A278-01	TCGA-C8-A278-01	BRCA	Primary Tumor	3.339	3.577	4.195
TCGA-A8-A06O-01	TCGA-A8-A06O-01	BRCA	Primary Tumor	3.338	3.205	4.444
TCGA-A8-A0A2-01	TCGA-A8-A0A2-01	BRCA	Primary Tumor	3.336	2.559	4.67
TCGA-PE-A5DC-01	TCGA-PE-A5DC-01	BRCA	Primary Tumor	3.336	2.189	3.755
TCGA-A8-A0A1-01	TCGA-A8-A0A1-01	BRCA	Primary Tumor	3.336	2.118	4.727
TCGA-AN-A0FY-01	TCGA-AN-A0FY-01	BRCA	Primary Tumor	3.334	5.778	4.608
TCGA-C8-A3M7-01	TCGA-C8-A3M7-01	BRCA	Primary Tumor	3.332	3.02	4.074
TCGA-C8-A138-01	TCGA-C8-A138-01	BRCA	Primary Tumor	3.331	1.864	2.578
TCGA-E9-A247-01	TCGA-E9-A247-01	BRCA	Primary Tumor	3.329	3.138	5.006
TCGA-BH-A0BF-01	TCGA-BH-A0BF-01	BRCA	Primary Tumor	3.329	3.007	4.346
TCGA-S3-AA17-01	TCGA-S3-AA17-01	BRCA	Primary Tumor	3.328	2.772	4.383
TCGA-A8-A07R-01	TCGA-A8-A07R-01	BRCA	Primary Tumor	3.326	4.898	4.819
TCGA-D8-A27I-01	TCGA-D8-A27I-01	BRCA	Primary Tumor	3.326	2.534	4.088
TCGA-OL-A66I-01	TCGA-OL-A66I-01	BRCA	Primary Tumor	3.325	4.688	3.342
TCGA-E2-A14S-01	TCGA-E2-A14S-01	BRCA	Primary Tumor	3.325	4.547	4.475
TCGA-EW-A6SD-01	TCGA-EW-A6SD-01	BRCA	Primary Tumor	3.325	3.039	4.76
TCGA-BH-A1EO-01	TCGA-BH-A1EO-01	BRCA	Primary Tumor	3.325	2.971	4.646
TCGA-EW-A1PD-01	TCGA-EW-A1PD-01	BRCA	Primary Tumor	3.323	3.558	5.001
TCGA-BH-A0DP-01	TCGA-BH-A0DP-01	BRCA	Primary Tumor	3.322	2.417	4.161
TCGA-OL-A5DA-01	TCGA-OL-A5DA-01	BRCA	Primary Tumor	3.322	1.345	3.925
TCGA-AO-A0JA-01	TCGA-AO-A0JA-01	BRCA	Primary Tumor	3.318	3.351	3.951
TCGA-BH-A28O-01	TCGA-BH-A28O-01	BRCA	Primary Tumor	3.318	1.125	4.089
TCGA-AR-A254-01	TCGA-AR-A254-01	BRCA	Primary Tumor	3.316	3.526	7.238
TCGA-WT-AB41-01	TCGA-WT-AB41-01	BRCA	Primary Tumor	3.316	1.736	1.791
TCGA-D8-A1X5-01	TCGA-D8-A1X5-01	BRCA	Primary Tumor	3.313	3.287	4.521
TCGA-E2-A15S-01	TCGA-E2-A15S-01	BRCA	Primary Tumor	3.312	3.469	4.99
TCGA-A2-A4RW-01	TCGA-A2-A4RW-01	BRCA	Primary Tumor	3.309	2.17	4.633
TCGA-LL-A5YN-01	TCGA-LL-A5YN-01	BRCA	Primary Tumor	3.309	1.986	1.701
TCGA-B6-A0X5-01	TCGA-B6-A0X5-01	BRCA	Primary Tumor	3.306	4.987	4.783
TCGA-PE-A5DD-01	TCGA-PE-A5DD-01	BRCA	Primary Tumor	3.306	3.203	3.55
TCGA-A2-A0YC-01	TCGA-A2-A0YC-01	BRCA	Primary Tumor	3.305	2.491	4.527
TCGA-BH-A0BS-01	TCGA-BH-A0BS-01	BRCA	Primary Tumor	3.302	2.814	4.68
TCGA-D8-A1XD-01	TCGA-D8-A1XD-01	BRCA	Primary Tumor	3.3	3.963	5.473
TCGA-AR-A1AN-01	TCGA-AR-A1AN-01	BRCA	Primary Tumor	3.3	2.511	3.955
TCGA-A8-A093-01	TCGA-A8-A093-01	BRCA	Primary Tumor	3.3	2.406	4.447
TCGA-4H-AAAK-01	TCGA-4H-AAAK-01	BRCA	Primary Tumor	3.297	2.351	4.288
TCGA-AN-A03Y-01	TCGA-AN-A03Y-01	BRCA	Primary Tumor	3.296	2.72	4.1
TCGA-OK-A5Q2-01	TCGA-OK-A5Q2-01	BRCA	Primary Tumor	3.296	2.406	4.185
TCGA-D8-A73W-01	TCGA-D8-A73W-01	BRCA	Primary Tumor	3.293	2.924	4.351
TCGA-BH-A18M-01	TCGA-BH-A18M-01	BRCA	Primary Tumor	3.293	2.568	4.894
TCGA-E9-A1R5-01	TCGA-E9-A1R5-01	BRCA	Primary Tumor	3.293	2.465	4.725
TCGA-GM-A5PV-01	TCGA-GM-A5PV-01	BRCA	Primary Tumor	3.293	1.506	3.574
TCGA-LL-A7T0-01	TCGA-LL-A7T0-01	BRCA	Primary Tumor	3.292	3.289	4.009
TCGA-AN-A0XS-01	TCGA-AN-A0XS-01	BRCA	Primary Tumor	3.292	2.154	3.879
TCGA-AN-A041-01	TCGA-AN-A041-01	BRCA	Primary Tumor	3.29	2.692	5.068
TCGA-BH-A18H-01	TCGA-BH-A18H-01	BRCA	Primary Tumor	3.289	1.896	4.313
TCGA-AC-A2FG-01	TCGA-AC-A2FG-01	BRCA	Primary Tumor	3.287	1.444	4.59
TCGA-E9-A228-01	TCGA-E9-A228-01	BRCA	Primary Tumor	3.284	4.394	5.004
TCGA-E9-A1NI-01	TCGA-E9-A1NI-01	BRCA	Primary Tumor	3.284	2.705	4.02
TCGA-BH-A0W7-01	TCGA-BH-A0W7-01	BRCA	Primary Tumor	3.283	3.086	3.997
TCGA-AC-A2FF-01	TCGA-AC-A2FF-01	BRCA	Primary Tumor	3.283	2.671	4.678
TCGA-E2-A1B4-01	TCGA-E2-A1B4-01	BRCA	Primary Tumor	3.283	1.27	3.268
TCGA-BH-A42U-01	TCGA-BH-A42U-01	BRCA	Primary Tumor	3.281	1.619	2.696
TCGA-GM-A3NW-01	TCGA-GM-A3NW-01	BRCA	Primary Tumor	3.281	1.27	3.841
TCGA-AR-A2LK-01	TCGA-AR-A2LK-01	BRCA	Primary Tumor	3.28	3.85	4.992
TCGA-A2-A0YD-01	TCGA-A2-A0YD-01	BRCA	Primary Tumor	3.28	2.862	4.623
TCGA-E2-A1LI-01	TCGA-E2-A1LI-01	BRCA	Primary Tumor	3.278	4.898	4.938
TCGA-BH-A0W5-01	TCGA-BH-A0W5-01	BRCA	Primary Tumor	3.277	2.803	4.341
TCGA-S3-AA10-01	TCGA-S3-AA10-01	BRCA	Primary Tumor	3.275	4.684	4.905
TCGA-A7-A26G-01	TCGA-A7-A26G-01	BRCA	Primary Tumor	3.275	4.56	5.333
TCGA-B6-A40C-01	TCGA-B6-A40C-01	BRCA	Primary Tumor	3.275	3.539	3.879
TCGA-GM-A2DK-01	TCGA-GM-A2DK-01	BRCA	Primary Tumor	3.275	1.915	2.6
TCGA-A7-A6VW-01	TCGA-A7-A6VW-01	BRCA	Primary Tumor	3.274	4.156	3.732
TCGA-BH-A5J0-01	TCGA-BH-A5J0-01	BRCA	Primary Tumor	3.274	2.141	2.854
TCGA-A8-A06R-01	TCGA-A8-A06R-01	BRCA	Primary Tumor	3.269	3.076	3.027
TCGA-A1-A0SK-01	TCGA-A1-A0SK-01	BRCA	Primary Tumor	3.268	6.046	5.434
TCGA-3C-AALI-01	TCGA-3C-AALI-01	BRCA	Primary Tumor	3.268	2.173	3.22
TCGA-EW-A2FV-01	TCGA-EW-A2FV-01	BRCA	Primary Tumor	3.266	3.052	4.192
TCGA-AO-A12A-01	TCGA-AO-A12A-01	BRCA	Primary Tumor	3.266	3.05	4.43
TCGA-E9-A1NF-01	TCGA-E9-A1NF-01	BRCA	Primary Tumor	3.265	2.121	3.237
TCGA-AO-A0J4-01	TCGA-AO-A0J4-01	BRCA	Primary Tumor	3.263	4.146	5.029
TCGA-B6-A402-01	TCGA-B6-A402-01	BRCA	Primary Tumor	3.263	3.821	3.751
TCGA-A2-A0CV-01	TCGA-A2-A0CV-01	BRCA	Primary Tumor	3.263	1.022	3.526
TCGA-PL-A8LZ-01	TCGA-PL-A8LZ-01	BRCA	Primary Tumor	3.262	4.797	4.332
TCGA-C8-A12M-01	TCGA-C8-A12M-01	BRCA	Primary Tumor	3.259	3.657	4.622
TCGA-E9-A1NG-01	TCGA-E9-A1NG-01	BRCA	Primary Tumor	3.257	1.971	4.789
TCGA-B6-A2IU-01	TCGA-B6-A2IU-01	BRCA	Primary Tumor	3.256	2.828	4.487
TCGA-D8-A27G-01	TCGA-D8-A27G-01	BRCA	Primary Tumor	3.256	2.628	4.411
TCGA-LL-A50Y-01	TCGA-LL-A50Y-01	BRCA	Primary Tumor	3.256	2.488	2.685
TCGA-AR-A2LE-01	TCGA-AR-A2LE-01	BRCA	Primary Tumor	3.256	1.551	4.37
TCGA-C8-A26Z-01	TCGA-C8-A26Z-01	BRCA	Primary Tumor	3.254	2.787	4.631
TCGA-D8-A1X6-01	TCGA-D8-A1X6-01	BRCA	Primary Tumor	3.253	3.011	4.687
TCGA-S3-A6ZG-01	TCGA-S3-A6ZG-01	BRCA	Primary Tumor	3.251	2.799	4.424
TCGA-E2-A1IF-01	TCGA-E2-A1IF-01	BRCA	Primary Tumor	3.251	2.398	2.791
TCGA-AC-A6IX-01	TCGA-AC-A6IX-01	BRCA	Primary Tumor	3.251	2.154	4.96
TCGA-A2-A1G4-01	TCGA-A2-A1G4-01	BRCA	Primary Tumor	3.248	3.551	4.867
TCGA-E2-A14Z-01	TCGA-E2-A14Z-01	BRCA	Primary Tumor	3.248	3.429	3.522
TCGA-A2-A04Y-01	TCGA-A2-A04Y-01	BRCA	Primary Tumor	3.248	2.356	3.02
TCGA-E2-A1IG-01	TCGA-E2-A1IG-01	BRCA	Primary Tumor	3.248	2.272	3.747
TCGA-A2-A4RX-01	TCGA-A2-A4RX-01	BRCA	Primary Tumor	3.245	4.873	4.36
TCGA-OL-A5RU-01	TCGA-OL-A5RU-01	BRCA	Primary Tumor	3.245	1.571	4.123
TCGA-GM-A3XG-01	TCGA-GM-A3XG-01	BRCA	Primary Tumor	3.243	1.373	3.329
TCGA-AR-A0U0-01	TCGA-AR-A0U0-01	BRCA	Primary Tumor	3.24	3.959	5.16
TCGA-AO-A0JF-01	TCGA-AO-A0JF-01	BRCA	Primary Tumor	3.24	1.903	4.84
TCGA-3C-AALJ-01	TCGA-3C-AALJ-01	BRCA	Primary Tumor	3.239	3.669	3.964
TCGA-AQ-A04L-01	TCGA-AQ-A04L-01	BRCA	Primary Tumor	3.239	2.665	4.044
TCGA-S3-AA14-01	TCGA-S3-AA14-01	BRCA	Primary Tumor	3.237	3.064	4.81
TCGA-D8-A1XV-01	TCGA-D8-A1XV-01	BRCA	Primary Tumor	3.236	2.742	3.98
TCGA-A8-A097-01	TCGA-A8-A097-01	BRCA	Primary Tumor	3.234	3.188	3.925
TCGA-A2-A25B-01	TCGA-A2-A25B-01	BRCA	Primary Tumor	3.233	4.11	4.944
TCGA-AO-A0J6-01	TCGA-AO-A0J6-01	BRCA	Primary Tumor	3.233	3.659	4.752
TCGA-B6-A0RT-01	TCGA-B6-A0RT-01	BRCA	Primary Tumor	3.233	3.014	4.444
TCGA-BH-A0HW-01	TCGA-BH-A0HW-01	BRCA	Primary Tumor	3.231	2.081	4.108
TCGA-E9-A1N6-01	TCGA-E9-A1N6-01	BRCA	Primary Tumor	3.23	4.224	4.775
TCGA-AN-A0XW-01	TCGA-AN-A0XW-01	BRCA	Primary Tumor	3.23	2.848	4.22
TCGA-LL-A440-01	TCGA-LL-A440-01	BRCA	Primary Tumor	3.23	1.808	3.873
TCGA-GI-A2C9-01	TCGA-GI-A2C9-01	BRCA	Primary Tumor	3.228	4.264	5.132
TCGA-LL-A5YM-01	TCGA-LL-A5YM-01	BRCA	Primary Tumor	3.228	2.886	0.6608
TCGA-B6-A0X4-01	TCGA-B6-A0X4-01	BRCA	Primary Tumor	3.228	2.473	3.837
TCGA-A2-A3XT-01	TCGA-A2-A3XT-01	BRCA	Primary Tumor	3.227	3.938	4.052
TCGA-AO-A1KT-01	TCGA-AO-A1KT-01	BRCA	Primary Tumor	3.227	2.618	3.588
TCGA-GM-A2DM-01	TCGA-GM-A2DM-01	BRCA	Primary Tumor	3.227	1.77	4.124
TCGA-D8-A1Y2-01	TCGA-D8-A1Y2-01	BRCA	Primary Tumor	3.225	3.203	3.758
TCGA-BH-A18S-01	TCGA-BH-A18S-01	BRCA	Primary Tumor	3.225	2.428	4.728
TCGA-A7-A6VV-01	TCGA-A7-A6VV-01	BRCA	Primary Tumor	3.224	4.424	3.94
TCGA-E2-A15H-01	TCGA-E2-A15H-01	BRCA	Primary Tumor	3.224	4.004	4.482
TCGA-E9-A1N5-01	TCGA-E9-A1N5-01	BRCA	Primary Tumor	3.224	2.848	4.975
TCGA-AN-A0FZ-01	TCGA-AN-A0FZ-01	BRCA	Primary Tumor	3.224	2.227	5.728
TCGA-D8-A27V-01	TCGA-D8-A27V-01	BRCA	Primary Tumor	3.224	1.66	5.041
TCGA-BH-A0B3-01	TCGA-BH-A0B3-01	BRCA	Primary Tumor	3.222	4.424	3.888
TCGA-PE-A5DE-01	TCGA-PE-A5DE-01	BRCA	Primary Tumor	3.219	2.744	3.25
TCGA-BH-A0H9-01	TCGA-BH-A0H9-01	BRCA	Primary Tumor	3.217	4.012	4.77
TCGA-BH-A8G0-01	TCGA-BH-A8G0-01	BRCA	Primary Tumor	3.217	1.501	4.04
TCGA-A8-A076-01	TCGA-A8-A076-01	BRCA	Primary Tumor	3.216	4.338	4.688
TCGA-BH-A0BV-01	TCGA-BH-A0BV-01	BRCA	Primary Tumor	3.216	2.707	4.458
TCGA-S3-AA12-01	TCGA-S3-AA12-01	BRCA	Primary Tumor	3.216	2.029	4.313
TCGA-EW-A1PA-01	TCGA-EW-A1PA-01	BRCA	Primary Tumor	3.214	3.289	3.617
TCGA-E9-A54X-01	TCGA-E9-A54X-01	BRCA	Primary Tumor	3.214	2.806	3.871
TCGA-AR-A1AQ-01	TCGA-AR-A1AQ-01	BRCA	Primary Tumor	3.211	4.507	3.29
TCGA-AO-A0J2-01	TCGA-AO-A0J2-01	BRCA	Primary Tumor	3.211	4.037	4.833
TCGA-AC-A8OR-01	TCGA-AC-A8OR-01	BRCA	Primary Tumor	3.211	2.516	4.057
TCGA-D8-A1XC-01	TCGA-D8-A1XC-01	BRCA	Primary Tumor	3.211	2.111	5.054
TCGA-EW-A1P0-01	TCGA-EW-A1P0-01	BRCA	Primary Tumor	3.21	3.316	4.776
TCGA-BH-A0EI-01	TCGA-BH-A0EI-01	BRCA	Primary Tumor	3.21	2.376	4.456
TCGA-PL-A8LY-01	TCGA-PL-A8LY-01	BRCA	Primary Tumor	3.208	2.96	3.72
TCGA-A8-A08T-01	TCGA-A8-A08T-01	BRCA	Primary Tumor	3.208	2.433	4.041
TCGA-E9-A1N3-01	TCGA-E9-A1N3-01	BRCA	Primary Tumor	3.205	2.72	4.541
TCGA-A8-A08S-01	TCGA-A8-A08S-01	BRCA	Primary Tumor	3.203	2.328	4.852
TCGA-A2-A0CS-01	TCGA-A2-A0CS-01	BRCA	Primary Tumor	3.203	2	3.452
TCGA-A8-A07E-01	TCGA-A8-A07E-01	BRCA	Primary Tumor	3.202	3.217	5.361
TCGA-E2-A1LB-01	TCGA-E2-A1LB-01	BRCA	Primary Tumor	3.202	2.526	4.679
TCGA-A8-A09C-01	TCGA-A8-A09C-01	BRCA	Primary Tumor	3.199	2.852	4.403
TCGA-A2-A4S2-01	TCGA-A2-A4S2-01	BRCA	Primary Tumor	3.197	1.723	4.119
TCGA-5T-A9QA-01	TCGA-5T-A9QA-01	BRCA	Primary Tumor	3.194	3.861	4.872
TCGA-AO-A126-01	TCGA-AO-A126-01	BRCA	Primary Tumor	3.194	1.86	2.71
TCGA-AQ-A1H2-01	TCGA-AQ-A1H2-01	BRCA	Primary Tumor	3.194	1.177	4.495
TCGA-A2-A0YH-01	TCGA-A2-A0YH-01	BRCA	Primary Tumor	3.191	3.482	4.474
TCGA-GM-A2DI-01	TCGA-GM-A2DI-01	BRCA	Primary Tumor	3.191	2.404	4.795
TCGA-D8-A1J8-01	TCGA-D8-A1J8-01	BRCA	Primary Tumor	3.189	4.698	4.599
TCGA-OL-A66H-01	TCGA-OL-A66H-01	BRCA	Primary Tumor	3.188	2.376	4.251
TCGA-AC-A2BK-01	TCGA-AC-A2BK-01	BRCA	Primary Tumor	3.186	4.866	5.687
TCGA-AO-A1KS-01	TCGA-AO-A1KS-01	BRCA	Primary Tumor	3.186	3.846	5.814
TCGA-E9-A1ND-01	TCGA-E9-A1ND-01	BRCA	Primary Tumor	3.186	3.442	4.213
TCGA-AR-A1AO-01	TCGA-AR-A1AO-01	BRCA	Primary Tumor	3.184	3.152	4.645
TCGA-D8-A1JT-01	TCGA-D8-A1JT-01	BRCA	Primary Tumor	3.183	3.453	3.741
TCGA-A2-A04Q-01	TCGA-A2-A04Q-01	BRCA	Primary Tumor	3.181	3.274	3.809
TCGA-AC-A3W6-01	TCGA-AC-A3W6-01	BRCA	Primary Tumor	3.181	2.977	3.474
TCGA-A1-A0SD-01	TCGA-A1-A0SD-01	BRCA	Primary Tumor	3.181	1.896	4.778
TCGA-BH-A0H5-01	TCGA-BH-A0H5-01	BRCA	Primary Tumor	3.18	2.382	3.882
TCGA-A7-A5ZW-01	TCGA-A7-A5ZW-01	BRCA	Primary Tumor	3.177	1.93	4.476
TCGA-AQ-A04J-01	TCGA-AQ-A04J-01	BRCA	Primary Tumor	3.173	4.291	4.379
TCGA-BH-A0BJ-01	TCGA-BH-A0BJ-01	BRCA	Primary Tumor	3.173	2.878	4.175
TCGA-E2-A1L7-01	TCGA-E2-A1L7-01	BRCA	Primary Tumor	3.17	4.231	4.95
TCGA-BH-A18J-01	TCGA-BH-A18J-01	BRCA	Primary Tumor	3.17	2.531	3.891
TCGA-E9-A1N9-01	TCGA-E9-A1N9-01	BRCA	Primary Tumor	3.168	4.592	5.137
TCGA-D8-A1XF-01	TCGA-D8-A1XF-01	BRCA	Primary Tumor	3.168	4.297	4.168
TCGA-E2-A574-01	TCGA-E2-A574-01	BRCA	Primary Tumor	3.167	3.51	2.493
TCGA-E2-A1LH-01	TCGA-E2-A1LH-01	BRCA	Primary Tumor	3.165	3.128	1.385
TCGA-B6-A0I9-01	TCGA-B6-A0I9-01	BRCA	Primary Tumor	3.165	3.007	4.681
TCGA-AC-A3YI-01	TCGA-AC-A3YI-01	BRCA	Primary Tumor	3.165	1.406	4.271
TCGA-AR-A0TQ-01	TCGA-AR-A0TQ-01	BRCA	Primary Tumor	3.164	4.117	4.724
TCGA-A8-A08J-01	TCGA-A8-A08J-01	BRCA	Primary Tumor	3.162	3.228	4.096
TCGA-A8-A08P-01	TCGA-A8-A08P-01	BRCA	Primary Tumor	3.162	3.227	4.583
TCGA-BH-A0GZ-01	TCGA-BH-A0GZ-01	BRCA	Primary Tumor	3.16	2.742	3.414
TCGA-EW-A2FW-01	TCGA-EW-A2FW-01	BRCA	Primary Tumor	3.159	4.02	4.202
TCGA-E9-A1NC-01	TCGA-E9-A1NC-01	BRCA	Primary Tumor	3.159	2.088	3.759
TCGA-C8-A12Z-01	TCGA-C8-A12Z-01	BRCA	Primary Tumor	3.157	2.667	4.659
TCGA-BH-A42V-01	TCGA-BH-A42V-01	BRCA	Primary Tumor	3.157	1.758	4.031
TCGA-E2-A1LL-01	TCGA-E2-A1LL-01	BRCA	Primary Tumor	3.156	4.381	4.266
TCGA-C8-A12O-01	TCGA-C8-A12O-01	BRCA	Primary Tumor	3.156	3.822	4.918
TCGA-BH-A0H6-01	TCGA-BH-A0H6-01	BRCA	Primary Tumor	3.154	2.26	4.471
TCGA-S3-A6ZH-01	TCGA-S3-A6ZH-01	BRCA	Primary Tumor	3.151	4.007	4.043
TCGA-A7-A13H-01	TCGA-A7-A13H-01	BRCA	Primary Tumor	3.149	1.368	4.278
TCGA-C8-A12N-01	TCGA-C8-A12N-01	BRCA	Primary Tumor	3.146	1.787	3.584
TCGA-E9-A1NA-01	TCGA-E9-A1NA-01	BRCA	Primary Tumor	3.144	4.015	4.331
TCGA-E2-A1LK-01	TCGA-E2-A1LK-01	BRCA	Primary Tumor	3.141	4.704	4
TCGA-AR-A1AW-01	TCGA-AR-A1AW-01	BRCA	Primary Tumor	3.141	3.036	4.513
TCGA-LL-A6FP-01	TCGA-LL-A6FP-01	BRCA	Primary Tumor	3.141	0.7748	2.958
TCGA-B6-A0IP-01	TCGA-B6-A0IP-01	BRCA	Primary Tumor	3.138	3.3	4.491
TCGA-EW-A1OV-01	TCGA-EW-A1OV-01	BRCA	Primary Tumor	3.136	2.924	4.171
TCGA-AO-A0JL-01	TCGA-AO-A0JL-01	BRCA	Primary Tumor	3.136	2.496	2.108
TCGA-C8-A12W-01	TCGA-C8-A12W-01	BRCA	Primary Tumor	3.134	4.099	4.311
TCGA-A7-A0CH-01	TCGA-A7-A0CH-01	BRCA	Primary Tumor	3.134	2.373	4.491
TCGA-A2-A0CR-01	TCGA-A2-A0CR-01	BRCA	Primary Tumor	3.133	1.753	1.566
TCGA-A2-A4S3-01	TCGA-A2-A4S3-01	BRCA	Primary Tumor	3.131	3.905	4.854
TCGA-A8-A09T-01	TCGA-A8-A09T-01	BRCA	Primary Tumor	3.131	3.136	4.845
TCGA-E9-A1R3-01	TCGA-E9-A1R3-01	BRCA	Primary Tumor	3.131	0.8568	4.289
